id,date,sender,place,geo_sender,recipient,place,geo_recipient
"desc004/1071","1635-05-19","Descartes, René (1596-1650)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Golius, Jacobus (1596-1667)","Leiden (nl)","52.1518157, 4.4811088666204295"
"desc004/1074","1635-11-01","Descartes, René (1596-1650)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Huygens, Constantijn (1596-1687)","[Pannerden (nl)]","51.8905258, 6.0367585"
"desc004/1076","1635-12-08","Descartes, René (1596-1650)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Huygens, Constantijn (1596-1687)","[Arnhem (nl)]","51.984257, 5.9108573"
"desc004/1077","1635-12-11","Descartes, René (1596-1650)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Huygens, Constantijn (1596-1687)","Pannerden (nl)","51.8905258, 6.0367585"
"desc004/1079","1636-03-28","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1081","1636-03-31","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","[Den Haag (nl)]","52.0799838, 4.3113461"
"desc004/1082","1636-06-11","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1085","1636-07-13","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"huyg001/1407","1636-07-16","Mory, Abraham de (-1645)","Den Haag (nl)","52.0799838, 4.3113461","Huygens, Constantijn (1596-1687)","[Amsterdam (nl)]","52.3727598, 4.8936041"
"desc004/1087","1636-10-30","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","[Den Haag (nl)]","52.0799838, 4.3113461"
"desc004/1088","1637-01-01","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","[Den Haag (nl)]","52.0799838, 4.3113461"
"desc004/1089","1637-01-05","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461","Descartes, René (1596-1650)","[Leiden (nl)]","52.1518157, 4.4811088666204295"
"desc004/1092","1637-02-25","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1093ter","1637-03-03","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1094","1637-03-22","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1096","1637-03-29","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1098","1637-04/1637-05","Fermat, Pierre de (1601-1665)","Toulouse (fr)","43.6044622, 1.4442469","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/1097","1637-04-20","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1099","1637-05-20","Descartes, René (1596-1650)","Alkmaar (nl)","52.600853799999996, 4.817099446443963","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1107","1637-06-12","Descartes, René (1596-1650)","[Leiden (nl)]","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1109","1637-06-12","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/1112","1637-06-14","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Fournet, François (1581-1638)","[Lille (fr)]","50.6365654, 3.0635282"
"desc004/1111","1637-06-14","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Balzac, Jean Louis Guez de (1597-1654)","?",
"desc004/1110","1637-06-14","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Colvius, Andreas (1594-1671)","Dordrecht (nl)","51.7958812, 4.6779351"
"desc004/1114","1637-07-05","Descartes, René (1596-1650)","Alkmaar (nl)","52.600853799999996, 4.817099446443963","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"huyg001/1643","1637-08-17","Surck, Anthonis van (1606-1666)","Amsterdam (nl)","52.3727598, 4.8936041","Huygens, Constantijn (1596-1687)","[Breda, Ginneken (nl)]","51.5827912, 4.7767624"
"desc004/1115","1637-08-30","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","?","?",
"desc004/2119","1637-10-03","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Plempius, Vopiscus Fortunatus (1601-1671)","Leuven (be)","50.879202, 4.7011675"
"desc004/2123","1637-10-05","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/2122","1637-10-05","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Huygens, Constantijn (1596-1687)","[Breda, Ginneken (nl)]","51.5827912, 4.7767624"
"desc004/2126","1637-11","Fermat, Pierre de (1601-1665)","Toulouse (fr)","43.6044622, 1.4442469","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/2129","1637-12","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/2127","1637-12-04","Descartes, René (1596-1650)","?",,"Huygens, Constantijn (1596-1687)","Den Haag (nl)",
"desc004/2130","1638-01","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"huyg001/1792","1638","Pollotti, Alfonso (1603-1668)","?",,"Huygens, Constantijn (1596-1687)","?",
